time,purpose,probability
0,WORK,0.2500000000000001
15,WORK,0.27885565489049946
30,WORK,0.30865828381745525
45,WORK,0.3392802673484192
60,WORK,0.3705904774487397
75,WORK,0.4024548389919359
90,WORK,0.4347369038899743
105,WORK,0.46729843538492843
120,WORK,0.5
135,WORK,0.5327015646150715
150,WORK,0.5652630961100259
165,WORK,0.5975451610080642
180,WORK,0.6294095225512604
195,WORK,0.6607197326515808
210,WORK,0.6913417161825449
225,WORK,0.7211443451095007
240,WORK,0.75
255,WORK,0.7777851165098012
270,WORK,0.8043807145043603
285,WORK,0.8296729075500344
300,WORK,0.8535533905932737
315,WORK,0.8759199037394887
330,WORK,0.8966766701456176
345,WORK,0.9157348061512727
360,WORK,0.9330127018922194
375,WORK,0.9484363707663441
390,WORK,0.9619397662556434
405,WORK,0.9734650647475529
420,WORK,0.9829629131445341
435,WORK,0.9903926402016152
450,WORK,0.9957224306869052
465,WORK,0.9989294616193017
480,WORK,1
495,WORK,0.9989294616193017
510,WORK,0.9957224306869052
525,WORK,0.9903926402016152
540,WORK,0.9829629131445341
555,WORK,0.9734650647475529
570,WORK,0.9619397662556434
585,WORK,0.9484363707663441
600,WORK,0.9330127018922194
615,WORK,0.9157348061512727
630,WORK,0.8966766701456176
645,WORK,0.8759199037394887
660,WORK,0.8535533905932737
675,WORK,0.8296729075500344
690,WORK,0.8043807145043603
705,WORK,0.7777851165098012
720,WORK,0.75
735,WORK,0.7211443451095007
750,WORK,0.6913417161825449
765,WORK,0.6607197326515808
780,WORK,0.6294095225512604
795,WORK,0.5975451610080642
810,WORK,0.5652630961100259
825,WORK,0.5327015646150715
840,WORK,0.5
855,WORK,0.46729843538492843
870,WORK,0.4347369038899743
885,WORK,0.4024548389919359
900,WORK,0.3705904774487397
915,WORK,0.3392802673484192
930,WORK,0.30865828381745525
945,WORK,0.27885565489049946
960,WORK,0.2500000000000001
975,WORK,0.22221488349019886
990,WORK,0.19561928549563967
1005,WORK,0.17032709244996558
1020,WORK,0.14644660940672627
1035,WORK,0.12408009626051136
1050,WORK,0.10332332985438236
1065,WORK,0.0842651938487275
1080,WORK,0.06698729810778065
1095,WORK,0.05156362923365593
1110,WORK,0.03806023374435663
1125,WORK,0.02653493525244721
1140,WORK,0.0170370868554659
1155,WORK,0.009607359798384785
1170,WORK,0.004277569313094753
1185,WORK,0.0010705383806982605
1200,WORK,0
1215,WORK,0.0010705383806982605
1230,WORK,0.004277569313094809
1245,WORK,0.00960735979838473
1260,WORK,0.01703708685546579
1275,WORK,0.0265349352524471
1290,WORK,0.038060233744356575
1305,WORK,0.05156362923365587
1320,WORK,0.06698729810778059
1335,WORK,0.08426519384872738
1350,WORK,0.10332332985438242
1365,WORK,0.12408009626051125
1380,WORK,0.14644660940672605
1395,WORK,0.17032709244996547
1410,WORK,0.19561928549563956
1425,WORK,0.22221488349019852
1440,WORK,0.24999999999999978
1455,WORK,0.27885565489049935
1470,WORK,0.30865828381745525
1485,WORK,0.3392802673484191
1500,WORK,0.3705904774487397
1515,WORK,0.4024548389919357
1530,WORK,0.4347369038899742
1545,WORK,0.4672984353849282
1560,WORK,0.4999999999999999
1575,WORK,0.5327015646150712
1590,WORK,0.5652630961100257
1605,WORK,0.5975451610080642
1620,WORK,0.6294095225512606
1635,WORK,0.6607197326515808
1650,WORK,0.6913417161825446
1665,WORK,0.7211443451095005
1680,WORK,0.75
1695,WORK,0.7777851165098009
1710,WORK,0.80438071450436
1725,WORK,0.8296729075500342
1740,WORK,0.8535533905932737
1755,WORK,0.8759199037394887
1770,WORK,0.8966766701456175
1785,WORK,0.9157348061512725
1800,WORK,0.9330127018922192
1815,WORK,0.9484363707663441
1830,WORK,0.9619397662556435
1845,WORK,0.9734650647475528
1860,WORK,0.9829629131445343
1875,WORK,0.9903926402016152
1890,WORK,0.9957224306869052
1905,WORK,0.9989294616193016
1920,WORK,1
1935,WORK,0.9989294616193019
1950,WORK,0.9957224306869052
1965,WORK,0.9903926402016152
1980,WORK,0.9829629131445341
1995,WORK,0.9734650647475529
2010,WORK,0.9619397662556435
2025,WORK,0.948436370766344
2040,WORK,0.9330127018922195
2055,WORK,0.9157348061512725
2070,WORK,0.8966766701456179
2085,WORK,0.8759199037394889
2100,WORK,0.8535533905932738
2115,WORK,0.8296729075500348
2130,WORK,0.8043807145043602
2145,WORK,0.7777851165098011
2160,WORK,0.7500000000000002
2175,WORK,0.7211443451095008
2190,WORK,0.6913417161825448
2205,WORK,0.6607197326515813
2220,WORK,0.6294095225512604
2235,WORK,0.5975451610080649
2250,WORK,0.5652630961100259
2265,WORK,0.5327015646150715
2280,WORK,0.5000000000000006
2295,WORK,0.46729843538492843
2310,WORK,0.43473690388997444
2325,WORK,0.40245483899193635
2340,WORK,0.3705904774487399
2355,WORK,0.3392802673484193
2370,WORK,0.30865828381745586
2385,WORK,0.2788556548904991
2400,WORK,0.2500000000000004
2415,WORK,0.22221488349019913
2430,WORK,0.19561928549563973
2445,WORK,0.1703270924499662
2460,WORK,0.14644660940672605
2475,WORK,0.12408009626051159
2490,WORK,0.10332332985438258
2505,WORK,0.08426519384872744
2520,WORK,0.06698729810778059
2535,WORK,0.051563629233656094
2550,WORK,0.0380602337443568
2565,WORK,0.026534935252446934
2580,WORK,0.017037086855465844
2595,WORK,0.00960735979838473
2610,WORK,0.0042775693130948644
2625,WORK,0.0010705383806982605
2640,WORK,0
2655,WORK,0.0010705383806982605
2670,WORK,0.004277569313094698
2685,WORK,0.00960735979838484
2700,WORK,0.01703708685546579
2715,WORK,0.0265349352524471
2730,WORK,0.03806023374435663
2745,WORK,0.05156362923365554
2760,WORK,0.06698729810778087
2775,WORK,0.08426519384872722
2790,WORK,0.10332332985438236
2805,WORK,0.12408009626051136
2820,WORK,0.14644660940672577
2835,WORK,0.17032709244996525
2850,WORK,0.19561928549563945
2865,WORK,0.2222148834901988
2880,WORK,0.2500000000000001
2895,WORK,0.27885565489049957
2910,WORK,0.30865828381745475
2925,WORK,0.339280267348419
2940,WORK,0.37059047744873874
2955,WORK,0.402454838991936
2970,WORK,0.43473690388997366
2985,WORK,0.46729843538492893
3000,WORK,0.4999999999999998
3015,WORK,0.5327015646150715
3030,WORK,0.565263096110026
3045,WORK,0.5975451610080635
3060,WORK,0.62940952255126
3075,WORK,0.6607197326515806
3090,WORK,0.691341716182544
3105,WORK,0.7211443451095
3120,WORK,0.7499999999999996
3135,WORK,0.7777851165098015
3150,WORK,0.8043807145043602
3165,WORK,0.8296729075500338
3180,WORK,0.853553390593274
3195,WORK,0.8759199037394884
3210,WORK,0.8966766701456175
3225,WORK,0.9157348061512726
3240,WORK,0.9330127018922199
3255,WORK,0.9484363707663439
3270,WORK,0.9619397662556433
3285,WORK,0.9734650647475525
3300,WORK,0.9829629131445341
3315,WORK,0.9903926402016152
3330,WORK,0.995722430686905
3345,WORK,0.9989294616193017
3360,WORK,1
3375,WORK,0.9989294616193017
3390,WORK,0.9957224306869052
3405,WORK,0.9903926402016152
3420,WORK,0.9829629131445343
3435,WORK,0.9734650647475531
3450,WORK,0.9619397662556434
3465,WORK,0.9484363707663441
3480,WORK,0.9330127018922192
3495,WORK,0.9157348061512733
3510,WORK,0.8966766701456177
3525,WORK,0.8759199037394887
3540,WORK,0.8535533905932743
3555,WORK,0.8296729075500349
3570,WORK,0.8043807145043599
3585,WORK,0.777785116509802
3600,WORK,0.7500000000000007
3615,WORK,0.7211443451095004
3630,WORK,0.6913417161825446
3645,WORK,0.660719732651581
3660,WORK,0.6294095225512614
3675,WORK,0.5975451610080641
